"id"	"hs96"	"name"
"010101"	"0101"	"Live horses, asses, mules and hinnies"
"01010111"	"010111"	"Horses, Live"
"01010119"	"010119"	"Horses, Live"
"01010120"	"010120"	"Asses, Mules And Hinnies, Live"
"010102"	"0102"	"Live bovine animals"
"01010210"	"010210"	"Purebred Bovine Breeding Animals"
"01010290"	"010290"	"Bovine Animals, Other Than Purebred Breeding Animals, Live"
"010103"	"0103"	"Live swine"
"01010310"	"010310"	"Purebred Swine Breeding Animals"
"01010391"	"010391"	"Swine Other Than Purebred Breeding Animals, Live"
"01010392"	"010392"	"Swine Other Than Purebred Breeding Animals, Live"
"010104"	"0104"	"Live sheep and goats"
"01010410"	"010410"	"Sheep, Live"
"01010420"	"010420"	"Goats, Live"
"010105"	"0105"	"Live poultry, domestic fowls, ducks, geese, etc."
"01010511"	"010511"	"Poultry, Live, Weighing Not Over 185 Grams (6.53 Oz.)"
"01010512"	"010512"	"Poultry, Live, Weighing Not Over 185 Grams (6.53 Oz.)"
"01010519"	"010519"	"Poultry, Live, Weighing Not Over 185 Grams (6.53 Oz.)"
"01010592"	"010592"	"Poultry, Live, Weighing Over 185 Grams (6.53 Oz.)"
"01010593"	"010593"	"Poultry, Live, Weighing Over 185 Grams (6.53 Oz.)"
"01010599"	"010599"	"Poultry, Live, Weighing Over 185 Grams (6.53 Oz.)"
"010106"	"0106"	"Animals, live, except farm animals"
"01010600"	"010600"	"Live Animals, N.E.S."
"010201"	"0201"	"Meat of bovine animals, fresh or chilled"
"01020110"	"020110"	"Meat Of Bovine Animals With Bone In, Fresh Or Chilled"
"01020120"	"020120"	"Meat Of Bovine Animals With Bone In, Fresh Or Chilled"
"01020130"	"020130"	"Meat Of Bovine Animals, Boneless, Fresh Or Chilled"
"010202"	"0202"	"Meat of bovine animals, frozen"
"01020210"	"020210"	"Meat Of Bovine Animals With Bone In, Frozen"
"01020220"	"020220"	"Meat Of Bovine Animals With Bone In, Frozen"
"01020230"	"020230"	"Meat Of Bovine Animals, Boneless, Frozen"
"010203"	"0203"	"Meat of swine, fresh, chilled or frozen"
"01020311"	"020311"	"Meat Of Swine, Fresh Or Chilled"
"01020312"	"020312"	"Meat Of Swine, Fresh Or Chilled"
"01020319"	"020319"	"Meat Of Swine, Fresh Or Chilled"
"01020321"	"020321"	"Meat Of Swine, Frozen"
"01020322"	"020322"	"Meat Of Swine, Frozen"
"01020329"	"020329"	"Meat Of Swine, Frozen"
"010204"	"0204"	"Meat of sheep or goats, fresh, chilled or frozen"
"01020410"	"020410"	"Meat Of Sheep, Fresh Or Chilled"
"01020421"	"020421"	"Meat Of Sheep, Fresh Or Chilled"
"01020422"	"020422"	"Meat Of Sheep, Fresh Or Chilled"
"01020423"	"020423"	"Meat Of Sheep, Fresh Or Chilled"
"01020430"	"020430"	"Meat Of Sheep, Frozen"
"01020441"	"020441"	"Meat Of Sheep, Frozen"
"01020442"	"020442"	"Meat Of Sheep, Frozen"
"01020443"	"020443"	"Meat Of Sheep, Frozen"
"01020450"	"020450"	"Meat Of Goats, Fresh, Chilled Or Frozen"
"010205"	"0205"	"Horse, ass, mule, hinny meat, fresh, chilled or frozen"
"01020500"	"020500"	"Meat Of Horses, Asses, Mules, Or Hinnies, Fresh, Chilled Or Frozen"
"010206"	"0206"	"Edible offal of domestic animals"
"01020610"	"020610"	"Edible Offal Of Bovine Animals, Fresh Or Chilled"
"01020621"	"020621"	"Edible Offal Of Bovine Animals, Frozen"
"01020622"	"020622"	"Edible Offal Of Bovine Animals, Frozen"
"01020629"	"020629"	"Edible Offal Of Bovine Animals, Frozen"
"01020630"	"020630"	"Edible Offal Of Swine, Fresh Or Chilled"
"01020641"	"020641"	"Edible Offal Of Swine, Frozen"
"01020649"	"020649"	"Edible Offal Of Swine, Frozen"
"01020680"	"020680"	"Edible Offal Of Sheep, Goats, Horses, Asses, Mules Or Hinnies, Fresh Or Chilled"
"01020690"	"020690"	"Edible Offal Of Sheep, Goats, Horses, Asses, Mules Or Hinnies, Frozen"
"010207"	"0207"	"Meat, edible offal of domestic poultry"
"01020711"	"020711"	"Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Fresh Or Chilled"
"01020712"	"020712"	"Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Frozen"
"01020713"	"020713"	"Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Fatty Livers Of Ducks Or Geese, Fresh Or Chilled"
"01020714"	"020714"	"Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Liver, Frozen"
"01020724"	"020724"	"Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Fresh Or Chilled"
"01020725"	"020725"	"Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Frozen"
"01020726"	"020726"	"Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Fatty Livers Of Ducks Or Geese, Fresh Or Chilled"
"01020727"	"020727"	"Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Liver, Frozen"
"01020732"	"020732"	"Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Fresh Or Chilled"
"01020733"	"020733"	"Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Frozen"
"01020734"	"020734"	"Fatty Livers Of Geese Or Ducks, Fresh Or Chilled"
"01020735"	"020735"	"Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Fatty Livers Of Ducks Or Geese, Fresh Or Chilled"
"01020736"	"020736"	"Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Liver, Frozen"
"010208"	"0208"	"Meat, edible meat offal nes, fresh, chilled or frozen"
"01020810"	"020810"	"Meat And Edible Meat Offal Of Rabbits Or Hares, Fresh, Chilled Or Frozen"
"01020820"	"020820"	"Frogs Legs, Fresh, Chilled Or Frozen"
"01020890"	"020890"	"Meat And Edible Meat Offal, N.E.S., Fresh, Chilled Or Frozen"
"010209"	"0209"	"Pig and poultry fat, unrendered"
"01020900"	"020900"	"Pig Fat (Without Lean Meat) And Poultry Fat (Not Rendered), Fresh, Chilled, Frozen, Salted, In Brine, Dried Or Smoked"
"010210"	"0210"	"Salted, dried or smoked meat or offal, flour and meal"
"01021011"	"021011"	"Hams, Shoulders And Cuts Thereof, Of Swine, With Bone In, Dried, Salted Or Smoked"
"01021012"	"021012"	"Bellies (Streaky) And Cuts Thereof, Of Swine, Salted, In Brine, Dried Or Smoked"
"01021019"	"021019"	"Meat Of Swine, Salted, In Brine, Dried Or Smoked, N.E.S."
"01021020"	"021020"	"Meat Of Bovine Animals, Salted, In Brine, Dried Or Smoked"
"01021090"	"021090"	"Meat, N.E.S., And Edible Meat Offal, Salted, In Brine, Dried Or Smoked, Including Edible Flours And Meals Of Meat Or Meat Offal"
"010301"	"0301"	"Live fish"
"01030110"	"030110"	"Fish, Live"
"01030191"	"030191"	"Fish, Live"
"01030192"	"030192"	"Fish, Live"
"01030193"	"030193"	"Fish, Live"
"01030199"	"030199"	"Fish, Live"
"010302"	"0302"	"Fish, fresh or chilled, whole"
"01030211"	"030211"	"Salmonidae, Fresh Or Chilled (Excluding Livers And Roes)"
"01030212"	"030212"	"Salmonidae, Fresh Or Chilled (Excluding Livers And Roes)"
"01030219"	"030219"	"Salmonidae, Fresh Or Chilled (Excluding Livers And Roes)"
"01030221"	"030221"	"Flat Fish, Fresh Or Chilled (Excluding Livers And Roes)"
"01030222"	"030222"	"Flat Fish, Fresh Or Chilled (Excluding Livers And Roes)"
"01030223"	"030223"	"Flat Fish, Fresh Or Chilled (Excluding Livers And Roes)"
"01030229"	"030229"	"Flat Fish, Fresh Or Chilled (Excluding Livers And Roes)"
"01030231"	"030231"	"Tunas, Skipjack Or Stripe"
"01030232"	"030232"	"Tunas, Skipjack Or Stripe"
"01030233"	"030233"	"Tunas, Skipjack Or Stripe"
"01030239"	"030239"	"Tunas, Skipjack Or Stripe"
"01030240"	"030240"	"Herrings, Sardines, Sardinella, Brislings Or Sprats, Fresh Or Chilled (Excluding Livers And Roes)"
